Designator,Mid X,Mid Y,Rotation,Layer
BOOTSEL1,180.446874,-60.542213,260.0,top
C1,217.746225,-48.239935,64.0,bottom
D1,79.135,-89.64,270.0,bottom
D10,260.11,-89.64,270.0,bottom
D100,198.1975,-184.89,270.0,bottom
D101,222.01,-184.89,270.0,bottom
D102,241.06,-184.89,270.0,bottom
D103,260.11,-184.89,270.0,bottom
D104,279.16,-184.89,270.0,bottom
D105,298.21,-184.89,270.0,bottom
D106,317.26,-184.89,270.0,bottom
D107,336.31,-184.89,270.0,bottom
D108,355.36,-184.89,270.0,bottom
D109,374.41,-184.89,270.0,bottom
D11,279.16,-89.64,270.0,bottom
D110,393.46,-184.89,270.0,bottom
D111,412.51,-184.89,270.0,bottom
D112,431.56,-184.89,270.0,bottom
D113,450.61,-184.89,270.0,bottom
D12,298.21,-89.64,270.0,bottom
D13,317.26,-89.64,270.0,bottom
D14,336.31,-89.64,270.0,bottom
D15,355.36,-89.64,270.0,bottom
D16,374.41,-89.64,270.0,bottom
D17,393.46,-89.64,270.0,bottom
D18,412.51,-89.64,270.0,bottom
D19,431.56,-89.64,270.0,bottom
D2,98.185,-89.64,270.0,bottom
D20,450.61,-89.64,270.0,bottom
D21,79.135,-108.69,270.0,bottom
D22,98.185,-108.69,270.0,bottom
D23,117.235,-108.69,270.0,bottom
D24,136.285,-108.69,270.0,bottom
D25,160.0975,-108.69,270.0,bottom
D26,179.1475,-108.69,270.0,bottom
D27,198.1975,-108.69,270.0,bottom
D28,222.01,-108.69,270.0,bottom
D29,241.06,-108.69,270.0,bottom
D3,117.235,-89.64,270.0,bottom
D30,260.11,-108.69,270.0,bottom
D31,279.16,-108.69,270.0,bottom
D32,298.21,-108.69,270.0,bottom
D33,317.26,-108.69,270.0,bottom
D34,336.31,-108.69,270.0,bottom
D35,355.36,-108.69,270.0,bottom
D36,374.41,-108.69,270.0,bottom
D37,393.46,-108.69,270.0,bottom
D38,412.51,-108.69,270.0,bottom
D39,431.56,-108.69,270.0,bottom
D4,136.285,-89.64,270.0,bottom
D40,450.61,-108.69,270.0,bottom
D41,469.66,-108.69,270.0,bottom
D42,79.135,-127.74,270.0,bottom
D43,98.185,-127.74,270.0,bottom
D44,117.235,-127.74,270.0,bottom
D45,136.285,-127.74,270.0,bottom
D46,160.0975,-127.74,270.0,bottom
D47,179.1475,-127.74,270.0,bottom
D48,198.1975,-127.74,270.0,bottom
D49,222.01,-127.74,270.0,bottom
